epoch,train_loss,train_acc
0,0.175004243850708,0.359375
1,0.1752285659313202,0.515625
2,0.16891244053840637,0.6015625
3,0.16229814291000366,0.6796875
4,0.20580042898654938,0.5
5,0.1938873529434204,0.5
6,0.1522863507270813,0.609375
7,0.17290428280830383,0.5
8,0.15317723155021667,0.6171875
9,0.142733633518219,0.6640625
10,0.13267436623573303,0.6875
11,0.12157431244850159,0.71875
12,0.09439302980899811,0.8671875
13,0.027397464960813522,0.9375
14,0.03998779132962227,0.96875
15,0.02427353337407112,1.0
16,0.0106527553871274,1.0
17,0.0016198104713112116,0.9921875
18,0.0002651532122399658,1.0
19,0.000845167029183358,1.0
20,2.6094985514646396e-05,1.0
21,0.00019033654825761914,1.0
22,2.2916950911167078e-05,1.0
23,4.835884828935377e-05,1.0
24,4.447648461791687e-05,1.0
25,9.633939771447331e-05,1.0
26,1.9576916656660615e-06,1.0
27,2.4989691155496985e-05,1.0
28,2.891082112910226e-05,1.0
29,3.3116430131485686e-05,1.0
30,8.833445264144757e-08,1.0
31,0.00010299538553226739,1.0
32,1.7518523236503825e-05,1.0
33,9.85026190392091e-07,1.0
34,1.2899088233098155e-06,1.0
35,8.513882494298741e-05,1.0
36,4.8996357691066805e-06,1.0
37,5.215413239056943e-07,1.0
38,9.458632121095434e-05,1.0
39,2.460014002281241e-06,1.0
40,1.7902896161103854e-06,1.0
41,1.6436724763480015e-05,1.0
42,2.7689916350936983e-06,1.0
43,7.211909860416199e-07,1.0
44,3.257604532791447e-07,1.0
45,8.022217662073672e-05,1.0
46,1.1687934602377936e-05,1.0
47,3.033305517874396e-08,1.0
48,7.617421033501159e-06,1.0
49,6.826881417509867e-06,1.0
