epoch,train_loss,train_acc
0,0.17769157886505127,0.5
1,0.18420368432998657,0.5
2,0.18151667714118958,0.4921875
3,0.17434842884540558,0.5546875
4,0.16748426854610443,0.6328125
5,0.15717726945877075,0.6796875
6,0.15497231483459473,0.609375
7,0.18326367437839508,0.5
8,0.13509100675582886,0.609375
9,0.09420618414878845,0.7421875
10,0.11279875040054321,0.7734375
11,0.07891172170639038,0.875
12,0.07230658829212189,0.9765625
13,0.015291038900613785,1.0
14,0.011657185852527618,1.0
15,0.005831889808177948,1.0
16,0.01060181763023138,1.0
17,0.0006921059684827924,1.0
18,0.00027452028007246554,1.0
19,0.00022064291988499463,1.0
20,6.326125003397465e-05,1.0
21,2.4703926101210527e-05,1.0
22,0.0010621126275509596,1.0
23,0.00011917225492652506,1.0
24,6.416351970983669e-05,1.0
25,6.7371797740634065e-06,1.0
26,2.8790661872335477e-06,1.0
27,2.9988481401233003e-05,1.0
28,1.4076565548748476e-06,1.0
29,2.502483403077349e-05,1.0
30,1.0655752475940972e-06,1.0
31,7.82907591201365e-06,1.0
32,3.299597665318288e-05,1.0
33,0.0001227052416652441,1.0
34,1.3101854392516543e-06,1.0
35,4.98970121043385e-06,1.0
36,7.488452411053004e-06,1.0
37,1.8765422282740474e-05,1.0
38,2.833163989635068e-06,1.0
39,3.9980562860364444e-07,1.0
40,7.624409136042232e-06,1.0
41,4.799017006007489e-06,1.0
42,4.746077593154041e-07,1.0
43,9.934443369274959e-06,1.0
44,7.398524758173153e-06,1.0
45,3.584678779589012e-05,1.0
46,1.529789369669743e-05,1.0
47,1.035524178405467e-06,1.0
48,2.75341808446683e-05,1.0
49,4.989301487512421e-06,1.0
