Label,Text
1,It feel like just a few day ago it be the last day of school . Now it be the end of July . neutral face
1,"I love my mom . No matter what we go through , no matter how much we argue , because I know , at the end , she will always be there ."
1,Bump that music ... i be try to sleep
0,"Mexican and black joke be pretty much the same . Once you have hear Juan , you have hear Jamal ."
0,How to find work you love :
0,"@user : You know what I like to do ? Answer my own question . "" @user"
0,You seem like a basketball player ! — I be Thank you !
1,Just because you say Swag in every other sentence do not mean you have it .
1,if i have my license the only thing i would use it for be mcdonalds at 3am
1,When people give me direction I tend to concentrate very hard on try to look attentive and I forget to listen .
0,@user @user WE LOVE YOU ! STAY SAFE WHEREVER YOU BE !
1,RT Every country have an Independence Day except Britain because they be the one's everyone be seek Independence from
1,"Some day , I practice positive think . Other day , I be not positive I be think ."
1,Guy ! Guy ! Guy ! GUY ! When we wake up we can bingewatch @user smiling face with horns To . Excite . To . Sleep
0,Get gas and then I be start the drive back to OKC . Cannot wait to be home ! Miss good old OK !
1,I love it when the bus smell like cat piss and dirty laundry ! winnipeg transit Winnipeg
0,Do the Meet the Press roundtable just all collectively ignore the fingerprint of the Paris attacker that come through Greece ? Really ?
1,I be so over this bitch Sinclair glad she fell off the damn roof face with tears of joy
1,Hear your favorite song on the radio be more excite than on your ipod .
1,@user @user and So ? Do you act to change something du ring your term ?
0,Mine and @user texting conversation right now be so beyond serious think it really sarcastic a well . How the hell do that work ?
0,The count with and family . one love
1,"me like your selfie could either mean "" that be a nice picture friend "" or "" i want to bend you over a table "" but you will never know"
0,"The tray be 7 "" x 11 "" with a design influence by Mondrian . Great for serve drink or snack , organize thing"
0,"You take a piece of me and I let you . And that will never happen again . "" - Cristina Yang"
0,Cannot wait til this weekend tired face One Hell Of A Night be Saturday person bowing
0,@user yeah there go the dishonest medium report yet again . She be lose & amp; her e-mail scandal r reveal how disgust she be .
1,Love mean never be able to like another girl's selfie on Instagram ever again .
1,"Me - "" when do you have class "" Bay - "" uhh noon , wait no noon-thirty @user"
0,My Mom say my job be to keep dad calm during the game . challenge accept
1,I only shave one leg this morning so that be how I be do
0,do you ever say something so bitchy and you be like damn i need to chill lol
0,you say you do not care but you can see the hurt in your eye
